2024/01/02 18:22:57.119 Logger INFO | Logger object created successfully..
2024/01/02 18:23:00.194 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:03.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:06.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:09.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:12.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:15.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:18.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:21.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:24.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:27.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:30.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:33.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:36.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:39.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:42.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:45.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:48.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:51.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:54.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:23:57.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:00.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:03.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:06.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:09.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:12.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:15.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:18.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:21.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:24.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:27.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:30.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:33.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:36.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:39.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:42.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:45.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:48.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:51.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:54.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:24:57.120 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:00.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:03.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:06.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:09.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:12.125 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:15.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:18.126 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:21.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:24.121 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:27.124 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:30.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:33.123 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:36.122 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:39.127 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:42.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:25:45.119 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
